Invoice,Order_Revenue,Items_in_Order,Unique_Products
489434,505.3,166,8
489435,145.8,60,4
489436,630.33,193,19
489437,310.75,145,23
489438,2286.24,826,17
489439,426.3,219,19
489440,50.4,16,2
489441,344.34000000000003,102,4
489442,382.37,275,23
489443,285.06,120,7
489444,141.0,1,1
489445,308.44,280,19
489446,996.1,382,27
489447,130.0,1,1
489448,570.24,192,4
489450,196.10000000000002,100,9
489460,485.79,977,15
489461,589.33,379,26
489462,148.3,38,13
489465,1197.8000000000002,408,19
489488,251.1,80,29
489505,255.5,64,10
489514,823.02,326,32
489517,250.06,114,28
489519,696.73,247,38
489520,733.63,293,30
489522,700.31,409,104
489523,1160.0,800,1
489526,929.9200000000001,484,44
489529,212.63,187,45
489531,145.0,54,14
489532,304.53,353,20
489533,181.5,60,19
489536,341.02,199,107
489537,633.33,250,58
489539,2887.14,1598,17
489540,537.96,188,5
489542,387.6,264,2
489544,281.82,226,14
489545,124.95,92,32
489546,584.5,212,33
489547,641.45,595,22
489550,482.3,232,23
489552,278.61,129,25
489556,377.15,174,56
489557,603.94,442,21
489558,291.58000000000004,154,4
489559,128.60000000000002,26,8
489560,859.1,1585,26
489561,246.86,273,27
489562,229.6,107,39
489564,322.9,326,11
489566,218.55,35,8
489567,307.8,150,20
489569,282.28,312,18
489571,156.71,50,30
489572,507.49,273,83
489573,580.02,306,32
489574,544.73,309,63
489575,367.28000000000003,300,22
489576,319.66,178,17
489579,219.82,177,34
489580,261.0,276,8
489581,124.83,137,10
489582,293.95,125,9
489584,21.95,1,1
489585,105.85,67,4
489586,263.42,98,6
489590,362.78000000000003,87,27
489593,407.97,93,29
489594,319.38,180,46
489598,822.37,575,50
489599,2454.68,1403,79
489606,2.1,1,1
489611,2.95,1,1
489613,12.75,1,1
489617,198.0,42,16
489634,17.4,12,1
489635,352.85,173,21
489637,535.9,157,20
489639,31.200000000000003,48,1
489640,329.90999999999997,600,26
489641,622.1,462,30
489644,857.5400000000001,297,24
489645,261.74,97,32
489650,173.1,90,7
489652,294.14,146,17
489654,222.12,115,30
489656,1237.3000000000002,401,22
489657,55.2,32,3
489658,828.09,249,21
489661,23.48,34,4
489662,73.75,25,1
489664,374.43,57,11
489665,252.3,118,10
489666,263.09000000000003,203,15
489667,538.46,221,10
489668,378.12,198,8
489669,397.20000000000005,168,3
489670,114.60000000000001,28,2
489671,740.3,966,8
489672,772.65,421,32
489673,61.1,34,4
489674,261.3,266,17
489675,4939.22,1930,22
489676,1210.8,840,5
489677,192.0,48,2
489678,189.3,113,20
489679,795.98,280,42
489680,45.0,36,1
489681,89.59,183,11
489682,125.73,303,4
489683,1317.97,721,46
489684,266.59999999999997,116,9
489687,221.53,113,12
489688,299.70000000000005,54,3
489695,306.95,121,15
489699,401.7,238,25
489702,3108.64,2020,30
489705,17.0,4,1
489723,2052.12,1339,26
489725,216.0,300,1
489726,750.0,200,1
489727,900.0,450,1
489728,180.45000000000002,349,10
489733,168.0,48,2
489743,538.77,320,33
489748,754.2,84,3
489764,223.1,82,14
489765,271.74,88,38
489766,124.78,86,42
489780,159.98000000000002,90,8
489782,228.36,147,21
489783,162.04,152,7
489784,40.8,48,4
489785,333.09000000000003,248,19
489786,212.66,197,39
489787,293.19,116,63
489788,119.16,38,17
489789,80.4,24,5
489790,131.12,88,2
489791,216.59,87,62
489792,923.79,165,58
489793,260.36,124,16
489794,58.2,55,4
489795,935.01,287,13
489796,311.5,268,19
489797,196.88,141,25
489798,296.69,93,19
489800,382.57,502,31
489801,128.48,144,6
489802,174.52,156,44
489804,251.17,185,15
489805,454.35,227,46
489807,180.13,241,27
489808,109.84,82,17
489809,112.5,68,6
489810,493.25,165,26
